t[s],U_A,U_B
-9.29494757,0.51911990,3.09610300
-9.29361357,0.51911990,3.10068100
-9.29227957,0.51911990,3.10373300
-9.29094557,0.52034060,3.10678400
-9.28961157,0.52186650,3.10983600
-9.28827757,0.52186650,3.11441400
-9.28694357,0.52186650,3.11746600
-9.28560956,0.52339240,3.12051800
-9.28427556,0.52339240,3.12509500
-9.28294156,0.52339240,3.12814700
-9.28160756,0.52461320,3.13119900
-9.28027356,0.52461320,3.13577700
-9.27893956,0.52461320,3.13882900
-9.27760556,0.52461320,3.14340600
-9.27627156,0.52461320,3.14798400
-9.27493756,0.52461320,3.15103600
-9.27360356,0.52613910,3.15408800
-9.27226956,0.52613910,3.15866600
-9.27093556,0.52766500,3.16171800
-9.26960156,0.53041170,3.16476900
-9.26826756,0.53041170,3.16782100
-9.26693356,0.53315840,3.17239900
-9.26559956,0.53468430,3.17545100
-9.26426556,0.53590500,3.17850300
-9.26293156,0.53590500,3.18308100
-9.26159756,0.53590500,3.18613200
-9.26026356,0.53590500,3.18918400
-9.25892956,0.53590500,3.19376200
-9.25759556,0.53590500,3.19681400
-9.25626156,0.53743090,3.19986600
-9.25492756,0.53743090,3.20444300
-9.25359356,0.53895690,3.20749500
-9.25225956,0.54170350,3.21054700
-9.25092556,0.54170350,3.21359900
-9.24959156,0.54170350,3.21817700
-9.24825756,0.54322950,3.22275400
-9.24692356,0.54322950,3.22733200
-9.24558956,0.54322950,3.23191000
-9.24425556,0.54445020,3.23496200
-9.24292156,0.54597620,3.23954000
-9.24158756,0.54597620,3.24259200
-9.24025356,0.54750200,3.24564300
-9.23891956,0.54750200,3.25174700
-9.23758556,0.54872280,3.25479900
-9.23625156,0.54872280,3.25937700
-9.23491756,0.54872280,3.26395500
-9.23358356,0.54872280,3.26853300
-9.23224956,0.55024870,3.27158400
-9.23091556,0.55177470,3.27768800
-9.22958156,0.55299540,3.28074000
-9.22824756,0.55452130,3.28531700
-9.22691356,0.55604730,3.28989500
-9.22557956,0.55726800,3.29447300
-9.22424556,0.55879390,3.29905100
-9.22291156,0.56031980,3.30210300
-9.22157756,0.56154060,3.30515400
-9.22024356,0.56306650,3.30973200
-9.21890956,0.56459240,3.31278400
-9.21757556,0.56581320,3.31583600
-9.21624156,0.56733910,3.32041400
-9.21490756,0.56733910,3.32346600
-9.21357356,0.56886500,3.32651800
-9.21223956,0.57008580,3.32956900
-9.21090556,0.57161170,3.33414700
-9.20957156,0.57313760,3.33872500
-9.20823756,0.57435830,3.34025100
-9.20690356,0.57588430,3.34635500
-9.20556956,0.57741020,3.35093200
-9.20423556,0.57863090,3.35551000
-9.20290156,0.58015690,3.35856200
-9.20156756,0.58137760,3.36161400
-9.20023356,0.58137760,3.36771800
-9.19889956,0.58290350,3.37076900
-9.19756556,0.58442940,3.37382100
-9.19623156,0.58565020,3.37839900
-9.19489756,0.58717610,3.38297700
-9.19356356,0.58870200,3.38602900
-9.19222956,0.58992280,3.39213200
-9.19089556,0.59144870,3.39671000
-9.18956156,0.59297470,3.40128800
-9.18822756,0.59419540,3.40586600
-9.18689356,0.59572130,3.40891700
-9.18555956,0.59724720,3.41502100
-9.18422556,0.59724720,3.41959900
-9.18289156,0.59846790,3.42570300
-9.18155756,0.59846790,3.43028000
-9.18022356,0.59999390,3.43333200
-9.17888956,0.59999390,3.43943600
-9.17755556,0.60151980,3.44401400
-9.17622156,0.60274060,3.44859100
-9.17488756,0.60426650,3.45164300
-9.17355356,0.60579240,3.45469500
-9.17221956,0.60701320,3.46079900
-9.17088556,0.60701320,3.46385100
-9.16955156,0.60853910,3.46995400
-9.16821756,0.60853910,3.47453200
-9.16688356,0.61006500,3.47911000
-9.16554956,0.61128570,3.48368800
-9.16421556,0.61281170,3.48826600
-9.16288156,0.61281170,3.49284400
